"From","To","Count"
"Albania","F.Y.R. Macedonia/North Macedonia",1
"Albania","Italy",2
"Albania","Sweden",1
"Albania","Switzerland",1
"Armenia","Israel",1
"Armenia","Spain",1
"Armenia","Sweden",2
"Austria","F.Y.R. Macedonia/North Macedonia",1
"Austria","Iceland",1
"Austria","Israel",1
"Austria","Italy",1
"Austria","United Kingdom",1
"Azerbaijan","Albania",1
"Azerbaijan","Israel",1
"Azerbaijan","Russia",2
"Azerbaijan","United Kingdom",1
"Belarus","Cyprus",1
"Belarus","Malta",1
"Belgium","Austria",2
"Belgium","Italy",1
"Belgium","Switzerland",1
"Belgium","United Kingdom",1
"Bulgaria","Austria",1
"Bulgaria","Greece",1
"Bulgaria","Moldova",1
"Croatia","Italy",3
"Croatia","Lithuania",1
"Croatia","Serbia",1
"Cyprus","Greece",3
"Cyprus","Sweden",2
"Czech Republic","Israel",1
"Czech Republic","Portugal",1
"Czech Republic","Sweden",1
"Czech Republic","Ukraine",1
"Czech Republic","United Kingdom",1
"Denmark","Germany",1
"Denmark","Greece",1
"Denmark","Sweden",2
"Denmark","Switzerland",1
"Estonia","Austria",1
"Estonia","Sweden",3
"Estonia","Switzerland",1
"F.Y.R. Macedonia/North Macedonia","Estonia",1
"F.Y.R. Macedonia/North Macedonia","Italy",1
"F.Y.R. Macedonia/North Macedonia","Serbia",1
"F.Y.R. Macedonia/North Macedonia","Spain",1
"Finland","Israel",1
"Finland","Sweden",3
"Finland","Switzerland",1
"France","Greece",1
"France","Israel",2
"France","Netherlands",1
"France","United Kingdom",1
"Georgia","Belgium",1
"Georgia","Czech Republic",1
"Georgia","Italy",1
"Georgia","Sweden",1
"Georgia","United Kingdom",1
"Germany","France",1
"Germany","Italy",1
"Germany","Sweden",2
"Germany","United Kingdom",1
"Greece","Azerbaijan",1
"Greece","Belgium",1
"Greece","Cyprus",3
"Hungary","Czech Republic",1
"Hungary","Denmark",1
"Iceland","Austria",1
"Iceland","Sweden",2
"Iceland","Switzerland",1
"Ireland","Cyprus",1
"Ireland","France",1
"Ireland","Spain",1
"Ireland","Sweden",2
"Israel","Austria",1
"Israel","Netherlands",1
"Israel","Sweden",2
"Israel","Switzerland",1
"Italy","Denmark",1
"Italy","Israel",1
"Italy","Lithuania",1
"Italy","Netherlands",1
"Italy","Norway",1
"Latvia","Estonia",1
"Latvia","Netherlands",1
"Latvia","Sweden",1
"Latvia","Switzerland",1
"Latvia","Ukraine",1
"Lithuania","Austria",1
"Lithuania","Netherlands",1
"Lithuania","Sweden",1
"Lithuania","Ukraine",2
"Malta","Albania",1
"Malta","Cyprus",1
"Malta","Italy",1
"Malta","Spain",1
"Malta","Sweden",1
"Moldova","Bulgaria",1
"Moldova","Estonia",1
"Moldova","F.Y.R. Macedonia/North Macedonia",1
"Moldova","Sweden",1
"Moldova","Ukraine",1
"Montenegro","Serbia",3
"Netherlands","France",1
"Netherlands","Germany",1
"Netherlands","Greece",1
"Netherlands","Sweden",2
"Norway","Czech Republic",1
"Norway","Finland",1
"Norway","Germany",1
"Norway","Greece",1
"Norway","Malta",1
"Poland","Austria",1
"Poland","Israel",1
"Poland","San Marino",1
"Poland","Ukraine",1
"Portugal","Bulgaria",1
"Portugal","Estonia",1
"Portugal","Netherlands",1
"Portugal","Spain",1
"Romania","Austria",1
"Romania","Italy",1
"Romania","Malta",1
"Romania","Ukraine",1
"Russia","Azerbaijan",1
"Russia","Moldova",2
"San Marino","France",1
"San Marino","Israel",1
"San Marino","Italy",2
"San Marino","Spain",1
"Serbia","Azerbaijan",1
"Serbia","F.Y.R. Macedonia/North Macedonia",1
"Serbia","France",1
"Serbia","Slovenia",1
"Serbia","Sweden",1
"Slovenia","Czech Republic",1
"Slovenia","Italy",3
"Slovenia","Sweden",1
"Spain","Azerbaijan",1
"Spain","Cyprus",1
"Spain","France",1
"Spain","Sweden",2
"Sweden","Cyprus",1
"Sweden","Finland",1
"Sweden","Malta",1
"Sweden","Netherlands",1
"Sweden","Spain",1
"Switzerland","Czech Republic",1
"Switzerland","F.Y.R. Macedonia/North Macedonia",1
"Switzerland","France",1
"Switzerland","Germany",1
"Switzerland","Greece",1
"Ukraine","France",1
"Ukraine","Italy",1
"Ukraine","Sweden",1
"Ukraine","United Kingdom",1
"United Kingdom","Austria",1
"United Kingdom","F.Y.R. Macedonia/North Macedonia",1
"United Kingdom","France",1
"United Kingdom","Sweden",2
