"From","To","Sum"
"Austria","Albania",23
"Azerbaijan","Albania",28
"Belarus","Albania",7
"Belgium","Albania",22
"Bosnia & Herzegovina","Albania",21
"Bulgaria","Albania",11
"Croatia","Albania",32
"Cyprus","Albania",12
"Czech Republic","Albania",6
"Denmark","Albania",16
"Estonia","Albania",1
"F.Y.R. Macedonia/North Macedonia","Albania",93
"Finland","Albania",9
"France","Albania",2
"Georgia","Albania",7
"Germany","Albania",12
"Greece","Albania",76
"Hungary","Albania",20
"Iceland","Albania",21
"Ireland","Albania",4
"Italy","Albania",13
"Latvia","Albania",2
"Malta","Albania",25
"Moldova","Albania",1
"Montenegro","Albania",52
"Netherlands","Albania",2
"Norway","Albania",3
"Poland","Albania",9
"Portugal","Albania",10
"Romania","Albania",10
"Russia","Albania",3
"San Marino","Albania",24
"Serbia","Albania",2
"Serbia & Montenegro","Albania",16
"Slovenia","Albania",17
"Sweden","Albania",9
"Switzerland","Albania",51
"Turkey","Albania",31
"United Kingdom","Albania",9
"Albania","Armenia",23
"Austria","Armenia",26
"Belarus","Armenia",45
"Belgium","Armenia",51
"Bosnia & Herzegovina","Armenia",8
"Bulgaria","Armenia",67
"Croatia","Armenia",4
"Cyprus","Armenia",48
"Czech Republic","Armenia",44
"Denmark","Armenia",3
"Estonia","Armenia",8
"F.Y.R. Macedonia/North Macedonia","Armenia",17
"Finland","Armenia",6
"France","Armenia",82
"Georgia","Armenia",81
"Germany","Armenia",24
"Greece","Armenia",61
"Hungary","Armenia",13
"Iceland","Armenia",8
"Ireland","Armenia",6
"Israel","Armenia",49
"Italy","Armenia",17
"Latvia","Armenia",18
"Lithuania","Armenia",9
"Malta","Armenia",15
"Moldova","Armenia",34
"Montenegro","Armenia",25
"Netherlands","Armenia",58
"Norway","Armenia",4
"Poland","Armenia",38
"Portugal","Armenia",9
"Romania","Armenia",25
"Russia","Armenia",79
"San Marino","Armenia",19
"Serbia","Armenia",14
"Slovakia","Armenia",7
"Slovenia","Armenia",12
"Spain","Armenia",57
"Sweden","Armenia",17
"Switzerland","Armenia",5
"Turkey","Armenia",44
"Ukraine","Armenia",46
"United Kingdom","Armenia",3
"Albania","Austria",5
"Armenia","Austria",7
"Azerbaijan","Austria",1
"Belarus","Austria",14
"Belgium","Austria",127
"Bosnia & Herzegovina","Austria",35
"Bulgaria","Austria",29
"Croatia","Austria",11
"Cyprus","Austria",53
"Czech Republic","Austria",9
"Denmark","Austria",89
"Estonia","Austria",37
"F.Y.R. Macedonia/North Macedonia","Austria",5
"Finland","Austria",60
"France","Austria",93
"Georgia","Austria",26
"Germany","Austria",89
"Greece","Austria",82
"Hungary","Austria",29
"Iceland","Austria",66
"Ireland","Austria",102
"Israel","Austria",66
"Italy","Austria",82
"Latvia","Austria",28
"Lithuania","Austria",35
"Luxembourg","Austria",27
"Malta","Austria",40
"Moldova","Austria",12
"Monaco","Austria",26
"Montenegro","Austria",3
"Netherlands","Austria",76
"Norway","Austria",57
"Poland","Austria",26
"Portugal","Austria",84
"Romania","Austria",22
"Russia","Austria",9
"San Marino","Austria",7
"Serbia","Austria",14
"Slovakia","Austria",6
"Slovenia","Austria",42
"Spain","Austria",89
"Sweden","Austria",93
"Switzerland","Austria",76
"Turkey","Austria",71
"Ukraine","Austria",15
"United Kingdom","Austria",126
"Yugoslavia","Austria",41
"Albania","Azerbaijan",38
"Andorra","Azerbaijan",7
